Date,open,high,low,close,volume,Network diameter,The average shortest path length of the network,The average clustering coefficient of the network,The average degree centrality of the network,Number of network nodes,number_of_nodes_for_largest_subgraph,The average degree of the network,bins,pagerank,ci_max,ci_global,retweeted,su,original
2015/7/10,-0.0505,6.7368,-0.8599,4.54,586400,18,6.020593519,0.003093414,0.00022683,17002,10085,1.990001176,"(4.2, 10.0]",0.019518195,2939718,9165758,19410,62624,43214
2015/7/13,1.0621,3.9299,-0.4942,2.39,643500,20,6.460666854,0.003592459,0.000500817,10460,4391,1.882600382,"(1.4, 4.2]",0.022065731,279510,1280449,10969,40651,29682
2015/7/14,-0.3026,1.6383,-2.8921,-1.16,670600,17,5.723349183,0.003857562,0.000590591,9212,3743,1.871689101,"(-1.4, 0.0]",0.027858391,547072,1843570,9831,35399,25568
2015/7/15,-1.2618,-0.2603,-4.6691,-3.03,601300,1,1,0,2,9666,2,1.887647424,"(-4.2, -1.4]",0.649122638,559344,1845980,10335,34563,24228
2015/7/16,-1.2402,1.8869,-3.0812,0.46,492300,2,1.894736842,0,0.111111111,10956,19,1.887185104,"(0.0, 1.4]",0.475215139,1319712,2134047,11403,33888,22485
2015/7/17,0.2157,4.4806,-0.2362,3.51,481700,16,6.15919207,0.001730641,0.000718953,7622,3005,1.845709787,"(1.4, 4.2]",0.050892403,445332,866816,7710,25369,17659
2015/7/20,-0.2257,1.6166,-0.7639,0.88,539100,1,1,0,1,7219,2,1.867294639,"(0.0, 1.4]",0.5,360472,1048384,7435,27885,20450
2015/7/21,-1.3079,1.2452,-1.9866,0.64,504300,15,7.040107926,0.001075944,0.000842516,5944,2542,1.797442799,"(0.0, 1.4]",0.026505773,94612,307465,6136,26559,20423
2015/7/22,-0.5289,0.6139,-1.414,0.21,520700,2,1.875,0,0.133333333,5679,16,1.799260433,"(0.0, 1.4]",0.478257771,82592,293693,5834,26387,20553
2015/7/23,-0.0938,2.6469,-0.174,2.43,563600,2,1.904761905,0,0.1,5223,21,1.762205629,"(1.4, 4.2]",0.473688031,26600,115421,5352,25289,19937
2015/7/24,0.0202,1.4677,-1.9179,-1.29,627400,2,1.894736842,0,0.111111111,6015,19,1.841064007,"(-1.4, 0.0]",0.475215139,54480,174711,7219,25857,18638
2015/7/27,-2.0963,-0.4851,-8.609,-8.48,556000,18,6.482873956,0.00338734,0.000445,9833,4966,1.922912641,"(-10.0, -4.2]",0.015638087,294996,1325570,11306,36594,25288
2015/7/28,-4.0911,0.9923,-5.0516,-1.68,563300,18,5.621557195,0.003527736,0.000337482,10522,6654,1.979851739,"(-4.2, -1.4]",0.032268077,2311686,6563114,11856,37180,25324
2015/7/29,0.7323,3.5236,-1.3906,3.44,434400,2,1.925925926,0,0.074074074,8543,27,1.899566897,"(1.4, 4.2]",0.4624682,1186768,2297612,9092,31094,22002
2015/7/30,-0.4059,1.4569,-2.7239,-2.2,457900,20,7.038772494,0.002989221,0.00059882,7207,3578,1.831552657,"(-4.2, -1.4]",0.02691866,134420,604359,7344,28436,21092
2015/7/31,-1.3519,0.6408,-2.3099,-1.13,351000,19,7.061528242,0.002997684,0.000547085,7603,3918,1.846639484,"(-1.4, 0.0]",0.022786989,221064,723533,8041,26839,18798
2015/8/3,-1.3302,-0.4035,-3.1179,-1.11,364000,1,1,0,1,6519,2,1.903973002,"(-1.4, 0.0]",0.5,190877,584802,8003,27344,19341
2015/8/4,-0.029,3.7021,-0.5966,3.69,362900,20,5.731829519,0.002394526,0.000799034,5517,2677,1.830342577,"(1.4, 4.2]",0.051338376,359775,769059,6122,32604,26482
2015/8/5,-0.2901,0.687,-2.1337,-1.65,366400,18,7.198493358,0.002975358,0.000710589,5593,2951,1.826211336,"(-4.2, -1.4]",0.086899352,64848,260898,6132,43134,37002
2015/8/6,-1.8695,0.433,-2.1608,-0.89,274100,18,6.822475691,0.005040808,0.000810889,5432,2662,1.851620029,"(-1.4, 0.0]",0.028146672,170702,397524,6110,43094,36984
2015/8/7,0.8487,2.6,0.6762,2.26,340800,16,6.140910667,0.001977554,0.000824859,5935,2620,1.856107835,"(1.4, 4.2]",0.022245465,158730,555513,6490,44030,37540
2015/8/10,1.1171,5.3261,0.8453,4.92,497300,2,1.5,0,0.666666667,7363,4,1.594187152,"(4.2, 10.0]",0.541985357,120652,240198,6950,45070,38120
2015/8/11,0.01,1.0671,-0.9479,-0.01,538900,1,1,0,1,7900,2,1.616455696,"(-1.4, 0.0]",0.5,186558,434726,7256,45091,37835
