Date,open,high,low,close,volume,sub_density,diameter,average_shortest_path_length,average_clustering,average_pageRank_score,average_degree_centrality,group,number_of_nodes,number_of_nodes_for_largest_subgraph,number_of_edges_for_largest_subgraph,average_degree,average_degree_sub,bins,pr,pagerank,ci,ci_sum
2015/5/13,0.0263,0.3274,-1.3346,-0.58,510500,5.79E-05,16,2.424841002,0.000140664,2.88E-05,5.79E-05,2,37291,34738,34960,1.980424231,2.012781392,"(-1.4, 0.0]",0.430186003,0.430186003,55488000,55958309
2015/5/14,-0.0673,0.5024,-1.0676,0.06,449100,0.000222671,19,3.860004607,0.000385545,0.000109745,0.000222671,1,12285,9112,9243,1.923158323,2.028753292,"(0.0, 1.4]",0.361920158,0.361920158,1821975,2061695
2015/5/15,-0.2624,-0.2624,-2.2785,-1.59,439700,0.000826709,17,6.655153981,0.001833621,0.00039185,0.000826709,2,5899,2552,2691,1.845736566,2.108934169,"(-4.2, -1.4]",0.141933063,0.141933063,79520,215269
2015/5/18,-0.7147,0.3745,-1.1183,-0.58,380100,0,0,0,0,1,1,2,3850,1,1,1.748051948,2,"(-1.4, 0.0]",1,1,15456,57457
2015/5/19,0.0534,3.1496,0.0534,3.13,436700,0.001616747,22,7.960709376,0.000776166,0.000769823,0.001616747,1,4532,1299,1363,1.783318623,2.098537336,"(1.4, 4.2]",0.042520768,0.042520768,35000,78977
2015/5/20,0.3945,2.3313,0.3334,0.65,514100,0.0014992,18,8.021812609,0.001023447,0.000710227,0.0014992,1,4639,1408,1485,1.764173313,2.109375,"(0.0, 1.4]",0.035636993,0.035636993,31464,87096
2015/5/21,0.2282,1.8935,-0.1806,1.87,465000,0.001038773,16,6.140934081,0.002498001,0.000483793,0.001038773,1,5592,2067,2218,1.833690987,2.146105467,"(1.4, 4.2]",0.073299958,0.073299958,251419,367296
2015/5/22,1.2267,2.8448,0.7411,2.83,655600,0.000932322,18,6.19715881,0.002177877,0.000428816,0.000932322,1,5310,2332,2534,1.82259887,2.173241852,"(1.4, 4.2]",0.061744149,0.061744149,310860,566831
2015/5/25,0.0532,3.3725,-0.0166,3.35,682500,0,0,0,0,1,1,1,4969,1,1,1.783859932,2,"(1.4, 4.2]",1,1,51324,176304
2015/5/26,0.8528,2.0335,-0.7213,2.02,704900,0.666666667,2,1.333333333,0,0.333333333,0.666666667,1,6460,3,2,1.839318885,1.333333333,"(1.4, 4.2]",0.486485824,0.486485824,130320,385525
2015/5/27,0.4469,0.9623,-1.0964,0.63,681200,0.00092407,19,6.809664582,0.002330802,0.000427168,0.00092407,1,6039,2341,2531,1.811558205,2.162323793,"(0.0, 1.4]",0.020574052,0.020574052,61748,273485
2015/5/28,0.041,0.9063,-6.6267,-6.5,783000,0.00033225,23,6.976685405,0.002814682,0.000155763,0.00033225,2,12697,6420,6846,1.846577932,2.13271028,"(-10.0, -4.2]",0.038419878,0.038419878,619095,2351977
2015/5/29,-0.3636,1.6866,-4.0842,-0.18,611300,0.000439713,18,6.068289346,0.004998282,0.000204541,0.000439713,2,11385,4889,5254,1.831884058,2.149314788,"(-1.4, 0.0]",0.048664255,0.048664255,1121728,2416867
2015/6/1,0.463,4.7218,0.0756,4.71,593400,0.001094664,19,7.82735119,0.00222867,0.000515198,0.001094664,1,6149,1941,2061,1.805822085,2.123647604,"(4.2, 10.0]",0.02790209,0.02790209,36200,141768
2015/6/2,0.3307,1.7155,-0.6458,1.69,623700,0.000781811,17,6.641466819,0.001159465,0.000363769,0.000781811,1,7149,2749,2953,1.832144356,2.148417606,"(1.4, 4.2]",0.028683053,0.028683053,193640,644962
2015/6/3,0.2821,0.6423,-1.7938,-0.01,611500,0.000922108,19,6.996866226,0.002622748,0.000427899,0.000922108,2,7013,2337,2517,1.832311422,2.154043646,"(-1.4, 0.0]",0.017330627,0.017330627,82600,250981
2015/6/4,0.0604,0.7737,-5.3477,0.76,675000,0.000573015,18,6.704124795,0.001862788,0.000268673,0.000573015,1,9350,3722,3968,1.871229947,2.132186996,"(0.0, 1.4]",0.070008933,0.070008933,577840,913524
2015/6/5,1.3945,2.1128,-0.9912,1.54,772200,0.000725651,19,6.759451371,0.002820233,0.000339328,0.000725651,1,7806,2947,3150,1.816551371,2.137767221,"(1.4, 4.2]",0.038017152,0.038017152,305408,678622
