Date,open,high,low,close,volume,Beijing_Tianjin_Hebei,Yangtze_River_Delta,Pearl_River_Delta,Middle_Reaches_of_Yangtze_River,Chengdu_Chongqing
2015/12/29,-0.1524,0.86,-0.5167,0.85,182600,6834,7465,4255,1902,922
2015/12/30,0.084,0.2791,-0.719,0.26,187900,4944,5520,3298,1470,871
2015/12/31,-0.0674,0.2162,-0.9663,-0.94,177000,5996,7284,3794,1810,935
2016/1/4,-0.0733,-0.0139,-6.8785,-6.86,184400,10812,13036,7018,3756,2251
2016/1/5,-3.0218,0.9672,-3.2356,-0.26,266900,9619,10043,5726,2990,1546
2016/1/6,0.106,2.2892,0.0372,2.25,238900,7937,8433,4595,2138,1020
2016/1/7,-1.5522,-1.5522,-7.3161,-7.04,70600,13383,16231,8944,4708,3042
2016/1/8,2.2279,3.5344,-2.18,1.97,286400,8895,10507,5488,2835,1473
2016/1/11,-1.7122,-0.6338,-5.3262,-5.33,271600,9716,10824,5458,2656,1482
2016/1/12,0.3134,1.0263,-1.2676,0.2,207700,10149,11569,5483,2717,1367
2016/1/13,0.6036,1.196,-2.4338,-2.42,194300,8757,11488,5333,2908,1512
2016/1/14,-2.5613,2.1256,-2.7815,1.97,212900,8950,11020,5658,2903,1518
2016/1/15,-0.6517,-0.1975,-4.1155,-3.55,198700,8424,9940,5234,3114,1510
2016/1/18,-1.8418,1.5333,-1.9396,0.44,164700,7656,9966,4822,2333,1209
2016/1/19,0.0196,3.3712,-0.2551,3.22,205300,7114,9434,4327,2245,1195
2016/1/20,-0.4896,0.2841,-1.8558,-1.03,216500,7041,9325,4663,2247,1156
2016/1/21,-1.4211,0.7423,-3.2455,-3.23,191700,7513,8861,4593,2360,1200
2016/1/22,1.0634,1.7663,-0.9981,1.25,159800,7558,9974,4262,2263,1320
2016/1/25,0.6006,1.3448,-0.1623,0.75,153000,6192,8600,3749,1949,960
2016/1/26,-1.048,-0.9026,-6.625,-6.42,210800,9630,10876,5955,2749,1609
2016/1/27,0.229,0.6905,-4.0542,-0.52,215700,9602,10160,5668,2845,1459
2016/1/28,-0.892,0.182,-3.2193,-2.92,171100,7990,9807,5345,2322,1483
2016/1/29,-0.1057,3.7545,-0.221,3.09,186700,6379,7181,4012,1809,1050
2016/2/1,-0.2417,-0.0857,-2.9945,-1.78,156400,6446,6680,4131,1801,1340
2016/2/2,-0.0324,2.4659,-0.0324,2.26,158100,6508,6252,3873,1587,1275
2016/2/3,-1.0909,-0.1272,-1.9162,-0.38,148400,5856,5377,3460,1323,1052
2016/2/4,0.4448,1.9732,0.4405,1.53,170400,5117,5208,3073,1582,1102
2016/2/5,0.0738,0.325,-0.6783,-0.63,141200,5812,6240,3296,2314,1877
2016/2/15,-2.8417,-0.1134,-2.9456,-0.63,129300,6049,7103,3476,1599,984
2016/2/16,0.4509,3.4384,0.4509,3.29,196000,6566,8682,3827,1761,1047
2016/2/17,-0.24,1.1327,-0.4306,1.08,216900,6915,8874,4451,2315,1307
2016/2/18,0.5036,0.9025,-0.3362,-0.16,219200,6659,9103,3782,2086,1270
2016/2/19,-0.2791,0.3434,-0.7826,-0.1,163400,5706,8181,3203,1631,956
2016/2/22,0.9992,2.5854,0.7107,2.35,232200,6223,8952,3774,1522,831
2016/2/23,-0.0501,0.0298,-1.8753,-0.81,199700,5879,9112,3777,2009,1118
2016/2/24,-0.4631,0.9141,-1.0697,0.88,213400,6064,8443,3535,2041,975
2016/2/25,-0.2274,-0.2274,-6.7959,-6.41,270300,8467,10194,5022,2425,1329
2016/2/26,0.6863,1.5872,-0.9255,0.95,191100,6891,7833,3696,2113,1013
2016/2/29,-0.448,-0.4091,-4.6345,-2.86,207400,8452,10833,4893,2302,1367
