Date,close,f,m,f_disgust,m_disgust,fol1,fol2,fol3,bins
2015/1/12,-1.71,5073,16436,905,2593,5568,12992,2949,"(-4.2, -1.4]"
2015/1/13,0.19,4813,15007,870,2412,5019,12299,2502,"(0.0, 1.4]"
2015/1/14,-0.4,4953,15326,938,2468,5008,12775,2496,"(-1.4, 0.0]"
2015/1/15,3.54,4579,14787,897,2310,4946,12086,2334,"(1.4, 4.2]"
2015/1/16,1.2,4918,15794,1034,2778,4882,13269,2561,"(0.0, 1.4]"
2015/1/19,-7.7,8906,30505,1067,3129,9213,25661,4537,"(-10.0, -4.2]"
2015/1/20,1.82,6417,22409,1068,3165,7247,18036,3543,"(1.4, 4.2]"
2015/1/21,4.74,5162,17466,879,2991,5477,14161,2990,"(4.2, 10.0]"
2015/1/22,0.59,4828,14476,927,2653,4850,12055,2399,"(0.0, 1.4]"
2015/1/23,0.25,4890,15129,906,2331,5205,12337,2477,"(0.0, 1.4]"
2015/1/26,0.94,4751,13867,974,1991,5122,11130,2366,"(0.0, 1.4]"
2015/1/27,-0.89,4994,15097,926,2183,6093,11415,2583,"(-1.4, 0.0]"
2015/1/28,-1.41,4993,16296,870,2299,6328,12352,2609,"(-4.2, -1.4]"
2015/1/29,-1.31,5483,16376,1180,2518,6450,13175,2234,"(-1.4, 0.0]"
2015/1/30,-1.59,6248,17286,1380,2627,6457,14561,2516,"(-4.2, -1.4]"
2015/2/2,-2.56,5801,17463,1296,2846,6371,14392,2501,"(-4.2, -1.4]"
2015/2/3,2.45,5922,15597,1709,2914,5634,13432,2453,"(1.4, 4.2]"
2015/2/4,-0.96,5989,18959,1417,3301,6677,15615,2656,"(-1.4, 0.0]"
2015/2/5,-1.18,6658,18338,1732,2957,6848,15497,2651,"(-1.4, 0.0]"
2015/2/6,-1.93,5752,15635,1407,2146,5564,13573,2250,"(-4.2, -1.4]"
2015/2/9,0.62,5995,16712,1173,2355,6828,13345,2534,"(0.0, 1.4]"
2015/2/10,1.5,5592,15641,1003,3146,6350,12656,2227,"(1.4, 4.2]"
2015/2/11,0.51,4886,13246,1036,2236,5896,10444,1792,"(0.0, 1.4]"
2015/2/12,0.5,5011,12634,996,2650,5760,10131,1754,"(0.0, 1.4]"
2015/2/13,0.96,6625,13751,1087,2389,10171,8732,1473,"(0.0, 1.4]"
2015/2/16,0.58,5838,11668,813,1697,8373,7849,1284,"(0.0, 1.4]"
2015/2/17,0.76,5590,10332,672,1503,7057,7760,1105,"(0.0, 1.4]"
