date,close
2002/1/4,-2.100888838
2002/1/7,-0.907911803
2002/1/8,-0.832936697
2002/1/9,-1.396309348
2002/1/10,0.966471323
2002/1/11,-2.591281622
2002/1/14,-3.287335812
2002/1/15,-1.714351126
2002/1/16,1.368136197
2002/1/17,-4.061853719
2002/1/18,-0.2874211
2002/1/21,-3.424376872
2002/1/22,-0.605719218
2002/1/23,6.350234417
2002/1/24,0.791019883
2002/1/25,-0.33781928
2002/1/28,-6.333535426
2002/1/29,2.444191093
2002/1/30,0.274989589
2002/1/31,6.806481409
2002/2/1,-0.395529842
2002/2/4,1.720320103
2002/2/5,0.459859859
2002/2/6,-2.13926285
2002/2/7,1.99151972
2002/2/8,-0.578728908
2002/2/25,1.570402623
2002/2/26,0.075149646
2002/2/27,0.449906297
2002/2/28,-0.885381455
2002/3/1,-1.453400669
2002/3/4,1.614599279
2002/3/5,2.179722295
2002/3/6,0.585226399
2002/3/7,2.79057615
2002/3/8,1.690018599
2002/3/11,1.452818456
2002/3/12,-1.225895234
2002/3/13,-1.23259252
2002/3/14,2.569867503
2002/3/15,-2.652613879
2002/3/18,0.17890412
2002/3/19,2.554375939
2002/3/20,1.029807369
2002/3/21,0.149181877
2002/3/22,-0.909781486
2002/3/25,0.3353916
2002/3/26,-1.540628787
2002/3/27,0.287969542
2002/3/28,-0.215205866
2002/3/29,-2.83278911
2002/4/1,0.286799135
2002/4/2,-1.593400103
2002/4/3,0.734736683
2002/4/4,2.959529887
2002/4/5,-0.43004203
2002/4/8,0.367665052
2002/4/9,1.63776552
2002/4/10,0.608088659
2002/4/11,-1.676740221
2002/4/12,0.57289046
2002/4/15,-0.57143546
2002/4/16,-0.558351015
2002/4/17,0.250565449
2002/4/18,-0.988810508
2002/4/19,0.431781051
2002/4/22,-0.470287493
2002/4/23,-0.180032934
2002/4/24,-0.830999354
2002/4/25,0.302287328
2002/4/26,1.526684489
2002/4/29,1.537251842
2002/4/30,0.11645986
2002/5/8,-0.92220057
2002/5/9,-0.108329248
2002/5/10,-0.75003938
2002/5/13,-0.870467586
2002/5/14,-0.474771235
2002/5/15,-1.106278191
2002/5/16,-3.056276785
2002/5/17,1.161665053
2002/5/20,-1.656778309
2002/5/21,3.021673273
2002/5/22,-1.487302517
2002/5/23,0.455100384
2002/5/24,-1.408746445
2002/5/27,0.360123139
2002/5/28,0.22314395
2002/5/29,-2.162949465
2002/5/30,-0.084600704
2002/5/31,-0.5113159
2002/6/3,-2.136264374
2002/6/4,0.482691206
2002/6/5,-1.912768113
2002/6/6,4.053351573
2002/6/7,0.542313608
2002/6/10,-0.802871508
2002/6/11,0.904938605
2002/6/12,-0.399749177
2002/6/13,-0.861073949
2002/6/14,-1.154983429
2002/6/17,0.133177179
2002/6/18,1.859995723
2002/6/19,-1.07606606
2002/6/20,0.562457302
2002/6/21,3.071595818
2002/6/24,9.252457254
2002/6/25,-0.042171603
2002/6/26,0.370329136
2002/6/27,0.621165152
2002/6/28,0.534362218
2002/7/1,-1.09940211
2002/7/2,0.655886935
2002/7/3,0.346096988
2002/7/4,-1.027199408
2002/7/5,0.528269727
2002/7/8,0.623624571
2002/7/9,-0.169654862
2002/7/10,-1.628333112
2002/7/11,-0.28675183
2002/7/12,0.08014426
2002/7/15,-0.609432962
2002/7/16,0.217423502
2002/7/17,0.597060806
2002/7/18,0.187457396
2002/7/19,0.524954396
2002/7/22,-1.916725987
2002/7/23,-0.425339528
2002/7/24,-0.087223543
2002/7/25,-0.435900502
2002/7/26,-0.457026863
2002/7/29,0.492911011
2002/7/30,0.199919552
2002/7/31,-1.043139605
2002/8/1,0.085977755
2002/8/2,0.535991918
2002/8/5,-0.475969841
2002/8/6,1.007279499
2002/8/7,-0.152637943
2002/8/8,-0.495782551
2002/8/9,-0.768164839
2002/8/12,-0.757718345
2002/8/13,0.126027029
2002/8/14,0.616510757
2002/8/15,-0.749975709
2002/8/16,0.759925843
2002/8/19,-0.15120325
2002/8/20,1.645076932
2002/8/21,0.131630119
2002/8/22,0.750500433
2002/8/23,-0.171993524
2002/8/26,-0.743816874
2002/8/27,0.538699579
2002/8/28,-0.173841602
